Test Instrument:,Cary 500 (1437)
Part No.:,700FS10-12.5
Lot No.:,28587
Serial No.:,N068-10
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
680.0000,  0.0043
680.1000,  0.0019
680.2000,  0.0042
680.3000,  0.0031
680.4000,  0.0032
680.5000,  0.0035
680.6000,  0.0033
680.7000,  0.0035
680.8000,  0.0037
680.9000,  0.0039
681.0000,  0.0042
681.1000,  0.0044
681.2000,  0.0048
681.3000,  0.0051
681.4000,  0.0054
681.5000,  0.0057
681.6000,  0.0059
681.7000,  0.0062
681.8000,  0.0063
681.9000,  0.0065
682.0000,  0.0066
682.1000,  0.0067
682.2000,  0.0069
682.3000,  0.0071
682.4000,  0.0073
682.5000,  0.0075
682.6000,  0.0078
682.7000,  0.0081
682.8000,  0.0084
682.9000,  0.0087
683.0000,  0.0091
683.1000,  0.0094
683.2000,  0.0098
683.3000,  0.0101
683.4000,  0.0105
683.5000,  0.0108
683.6000,  0.0112
683.7000,  0.0116
683.8000,  0.0120
683.9000,  0.0125
684.0000,  0.0129
684.1000,  0.0134
684.2000,  0.0140
684.3000,  0.0146
684.4000,  0.0151
684.5000,  0.0158
684.6000,  0.0164
684.7000,  0.0170
684.8000,  0.0177
684.9000,  0.0184
685.0000,  0.0191
685.1000,  0.0198
685.2000,  0.0205
685.3000,  0.0213
685.4000,  0.0221
685.5000,  0.0229
685.6000,  0.0238
685.7000,  0.0247
685.8000,  0.0256
685.9000,  0.0266
686.0000,  0.0276
686.1000,  0.0287
686.2000,  0.0298
686.3000,  0.0310
686.4000,  0.0323
686.5000,  0.0336
686.6000,  0.0350
686.7000,  0.0366
686.8000,  0.0381
686.9000,  0.0398
687.0000,  0.0416
687.1000,  0.0434
687.2000,  0.0454
687.3000,  0.0474
687.4000,  0.0495
687.5000,  0.0518
687.6000,  0.0541
687.7000,  0.0566
687.8000,  0.0592
687.9000,  0.0620
688.0000,  0.0649
688.1000,  0.0681
688.2000,  0.0713
688.3000,  0.0747
688.4000,  0.0783
688.5000,  0.0821
688.6000,  0.0860
688.7000,  0.0901
688.8000,  0.0944
688.9000,  0.0990
689.0000,  0.1038
689.1000,  0.1090
689.2000,  0.1145
689.3000,  0.1205
689.4000,  0.1268
689.5000,  0.1337
689.6000,  0.1411
689.7000,  0.1490
689.8000,  0.1575
689.9000,  0.1666
690.0000,  0.1763
690.1000,  0.1866
690.2000,  0.1975
690.3000,  0.2091
690.4000,  0.2213
690.5000,  0.2341
690.6000,  0.2477
690.7000,  0.2620
690.8000,  0.2771
690.9000,  0.2932
691.0000,  0.3104
691.1000,  0.3289
691.2000,  0.3488
691.3000,  0.3703
691.4000,  0.3937
691.5000,  0.4191
691.6000,  0.4467
691.7000,  0.4766
691.8000,  0.5090
691.9000,  0.5441
692.0000,  0.5818
692.1000,  0.6224
692.2000,  0.6660
692.3000,  0.7127
692.4000,  0.7629
692.5000,  0.8169
