Test Instrument:,Cary 500 (1437)
Part No.:,600FS10-12.5
Lot No.:,26039
Serial No.:,M168-04
A.O.I. (deg):,0
Temp. (C.):,23
Wavelength (nm),Tx. (%)
580.0000, -0.0005
580.1000,  0.0013
580.2000,  0.0009
580.3000, -0.0005
580.4000,  0.0001
580.5000, -0.0003
580.6000, -0.0003
580.7000, -0.0001
580.8000, -0.0001
580.9000,  0.0001
581.0000,  0.0001
581.1000,  0.0001
581.2000,  0.0002
581.3000,  0.0002
581.4000,  0.0003
581.5000,  0.0004
581.6000,  0.0005
581.7000,  0.0007
581.8000,  0.0009
581.9000,  0.0010
582.0000,  0.0011
582.1000,  0.0012
582.2000,  0.0013
582.3000,  0.0014
582.4000,  0.0016
582.5000,  0.0018
582.6000,  0.0020
582.7000,  0.0022
582.8000,  0.0024
582.9000,  0.0025
583.0000,  0.0026
583.1000,  0.0027
583.2000,  0.0027
583.3000,  0.0028
583.4000,  0.0029
583.5000,  0.0031
583.6000,  0.0033
583.7000,  0.0037
583.8000,  0.0041
583.9000,  0.0045
584.0000,  0.0049
584.1000,  0.0052
584.2000,  0.0055
584.3000,  0.0056
584.4000,  0.0058
584.5000,  0.0059
584.6000,  0.0060
584.7000,  0.0060
584.8000,  0.0061
584.9000,  0.0062
585.0000,  0.0064
585.1000,  0.0068
585.2000,  0.0072
585.3000,  0.0078
585.4000,  0.0085
585.5000,  0.0094
585.6000,  0.0102
585.7000,  0.0111
585.8000,  0.0118
585.9000,  0.0125
586.0000,  0.0131
586.1000,  0.0137
586.2000,  0.0142
586.3000,  0.0148
586.4000,  0.0154
586.5000,  0.0161
586.6000,  0.0169
586.7000,  0.0178
586.8000,  0.0188
586.9000,  0.0199
587.0000,  0.0211
587.1000,  0.0223
587.2000,  0.0237
587.3000,  0.0251
587.4000,  0.0267
587.5000,  0.0282
587.6000,  0.0299
587.7000,  0.0316
587.8000,  0.0333
587.9000,  0.0350
588.0000,  0.0369
588.1000,  0.0388
588.2000,  0.0408
588.3000,  0.0429
588.4000,  0.0452
588.5000,  0.0477
588.6000,  0.0505
588.7000,  0.0535
588.8000,  0.0567
588.9000,  0.0601
589.0000,  0.0636
589.1000,  0.0673
589.2000,  0.0712
589.3000,  0.0751
589.4000,  0.0791
589.5000,  0.0834
589.6000,  0.0878
589.7000,  0.0926
589.8000,  0.0978
589.9000,  0.1035
590.0000,  0.1097
590.1000,  0.1165
590.2000,  0.1239
590.3000,  0.1318
590.4000,  0.1403
590.5000,  0.1493
590.6000,  0.1587
590.7000,  0.1687
590.8000,  0.1791
590.9000,  0.1902
591.0000,  0.2020
591.1000,  0.2145
591.2000,  0.2280
591.3000,  0.2426
591.4000,  0.2583
591.5000,  0.2754
591.6000,  0.2938
591.7000,  0.3137
591.8000,  0.3350
591.9000,  0.3579
592.0000,  0.3823
592.1000,  0.4085
592.2000,  0.4367
592.3000,  0.4671
592.4000,  0.4999
592.5000,  0.5356
592.6000,  0.5744
592.7000,  0.6165
592.8000,  0.6621
592.9000,  0.7114
593.0000,  0.7647
593.1000,  0.8222
593.2000,  0.8845
593.3000,  0.9519
593.4000,  1.0250
593.5000,  1.1044
593.6000,  1.1910
593.7000,  1.2854
593.8000,  1.3884
593.9000,  1.5010
594.0000,  1.6241
594.1000,  1.7585
594.2000,  1.9055
594.3000,  2.0663
594.4000,  2.2423
594.5000,  2.4352
594.6000,  2.6468
594.7000,  2.8795
594.8000,  3.1357
594.9000,  3.4183
595.0000,  3.7306
595.1000,  4.0761
595.2000,  4.4588
595.3000,  4.8825
595.4000,  5.3516
595.5000,  5.8701
595.6000,  6.4420
595.7000,  7.0715
595.8000,  7.7629
595.9000,  8.5209
596.0000,  9.3514
596.1000, 10.2613
596.2000, 11.2592
596.3000, 12.3545
596.4000, 13.5574
596.5000, 14.8774
596.6000, 16.3227
596.7000, 17.8988
596.8000, 19.6076
596.9000, 21.4478
597.0000, 23.4147
597.1000, 25.5006
597.2000, 27.6960
597.3000, 29.9897
597.4000, 32.3694
597.5000, 34.8215
597.6000, 37.3304
597.7000, 39.8784
597.8000, 42.4449
597.9000, 45.0066
598.0000, 47.5382
598.1000, 50.0129
598.2000, 52.4045
598.3000, 54.6886
598.4000, 56.8443
598.5000, 58.8553
598.6000, 60.7106
598.7000, 62.4046
598.8000, 63.9375
598.9000, 65.3140
599.0000, 66.5428
599.1000, 67.6356
599.2000, 68.6054
599.3000, 69.4661
599.4000, 70.2311
599.5000, 70.9127
599.6000, 71.5222
599.7000, 72.0694
599.8000, 72.5633
599.9000, 73.0120
600.0000, 73.4226
600.1000, 73.8015
600.2000, 74.1545
600.3000, 74.4862
600.4000, 74.8003
600.5000, 75.0997
600.6000, 75.3863
600.7000, 75.6613
600.8000, 75.9253
600.9000, 76.1783
601.0000, 76.4201
601.1000, 76.6502
601.2000, 76.8684
601.3000, 77.0741
601.4000, 77.2671
601.5000, 77.4469
601.6000, 77.6128
601.7000, 77.7633
601.8000, 77.8969
601.9000, 78.0115
602.0000, 78.1054
602.1000, 78.1773
602.2000, 78.2272
602.3000, 78.2563
602.4000, 78.2673
602.5000, 78.2632
602.6000, 78.2477
602.7000, 78.2240
602.8000, 78.1949
602.9000, 78.1624
603.0000, 78.1282
603.1000, 78.0939
603.2000, 78.0614
603.3000, 78.0331
603.4000, 78.0117
603.5000, 78.0001
603.6000, 78.0008
603.7000, 78.0158
603.8000, 78.0463
603.9000, 78.0924
604.0000, 78.1533
604.1000, 78.2270
604.2000, 78.3104
604.3000, 78.3990
604.4000, 78.4867
604.5000, 78.5655
604.6000, 78.6255
604.7000, 78.6546
604.8000, 78.6389
604.9000, 78.5627
605.0000, 78.4089
605.1000, 78.1591
605.2000, 77.7946
605.3000, 77.2959
605.4000, 76.6437
605.5000, 75.8194
605.6000, 74.8050
605.7000, 73.5845
605.8000, 72.1445
605.9000, 70.4750
606.0000, 68.5714
606.1000, 66.4351
606.2000, 64.0752
606.3000, 61.5088
606.4000, 58.7614
606.5000, 55.8657
606.6000, 52.8602
606.7000, 49.7866
606.8000, 46.6873
606.9000, 43.6026
607.0000, 40.5682
607.1000, 37.6142
607.2000, 34.7644
607.3000, 32.0364
607.4000, 29.4430
607.5000, 26.9928
607.6000, 24.6918
607.7000, 22.5438
607.8000, 20.5507
607.9000, 18.7126
608.0000, 17.0274
608.1000, 15.4904
608.2000, 14.0948
608.3000, 12.8315
608.4000, 11.6900
608.5000, 10.6588
608.6000,  9.7265
608.7000,  8.8823
608.8000,  8.1164
608.9000,  7.4203
609.0000,  6.7868
609.1000,  6.2101
609.2000,  5.6854
609.3000,  5.2086
609.4000,  4.7761
609.5000,  4.3844
609.6000,  4.0300
609.7000,  3.7095
609.8000,  3.4193
609.9000,  3.1561
610.0000,  2.9168
610.1000,  2.6985
610.2000,  2.4988
